Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users?skip=114&limit=50,1,1,4.365457999483624,4.365457999483624,4.365457999483624,4.365457999483624,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=12&limit=25,1,1,4.164083999967261,4.164083999967261,4.164083999967261,4.164083999967261,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=120&limit=25,1,1,4.7808340004849015,4.7808340004849015,4.7808340004849015,4.7808340004849015,22.0,0.017151907866073037,0.017151907866073037,5,5,5,5,5,5,5,5,5,5,5
GET,/users?skip=125&limit=10,1,1,3.1655000002501765,3.1655000002501765,3.1655000002501765,3.1655000002501765,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
GET,/users?skip=13&limit=25,2,2,4.326125000261527,4.492458500408247,4.326125000261527,4.658792000554968,22.0,0.034303815732146074,0.034303815732146074,5,5,5,5,5,5,5,5,5,5,5
GET,/users?skip=130&limit=10,1,1,4.402415999720688,4.402415999720688,4.402415999720688,4.402415999720688,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=131&limit=50,1,1,3.6176670000713784,3.6176670000713784,3.6176670000713784,3.6176670000713784,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=136&limit=25,1,1,5.287875000249187,5.287875000249187,5.287875000249187,5.287875000249187,22.0,0.017151907866073037,0.017151907866073037,5,5,5,5,5,5,5,5,5,5,5
GET,/users?skip=138&limit=50,1,1,5.255625000245345,5.255625000245345,5.255625000245345,5.255625000245345,22.0,0.017151907866073037,0.017151907866073037,5,5,5,5,5,5,5,5,5,5,5
GET,/users?skip=14&limit=10,1,1,3.6014170000271406,3.6014170000271406,3.6014170000271406,3.6014170000271406,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=14&limit=25,2,2,2.464666999912879,3.1197500002235756,2.464666999912879,3.7748330005342723,22.0,0.034303815732146074,0.034303815732146074,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=14&limit=50,2,2,4.141749999689637,4.893582999557111,4.141749999689637,5.645415999424586,22.0,0.034303815732146074,0.034303815732146074,6,6,6,6,6,6,6,6,6,6,6
GET,/users?skip=144&limit=10,1,1,1.968833999853814,1.968833999853814,1.968833999853814,1.968833999853814,22.0,0.017151907866073037,0.017151907866073037,2,2,2,2,2,2,2,2,2,2,2
GET,/users?skip=146&limit=50,1,1,3.7081250002302113,3.7081250002302113,3.7081250002302113,3.7081250002302113,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=148&limit=25,1,1,5.384749999393534,5.384749999393534,5.384749999393534,5.384749999393534,22.0,0.017151907866073037,0.017151907866073037,5,5,5,5,5,5,5,5,5,5,5
GET,/users?skip=149&limit=50,1,1,1.8888330005211174,1.8888330005211174,1.8888330005211174,1.8888330005211174,22.0,0.017151907866073037,0.017151907866073037,2,2,2,2,2,2,2,2,2,2,2
GET,/users?skip=15&limit=10,1,1,3.9929999993546517,3.9929999993546517,3.9929999993546517,3.9929999993546517,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=15&limit=25,1,1,1.89183300062723,1.89183300062723,1.89183300062723,1.89183300062723,22.0,0.017151907866073037,0.017151907866073037,2,2,2,2,2,2,2,2,2,2,2
